SampleID	old_name	Well	Plate	composition	replicate	Media	contains_Psim	type	adjustment	timepoint
20.everyone.day6.2	20_everyone.day6.2	F4	3	20_everyone	2	0.1x_R2A	yes	equal	equal	day6
20.everyone.day6.3	20_everyone.day6.3	G4	3	20_everyone	3	0.1x_R2A	yes	equal	equal	day6
20.everyone.day6.4	20_everyone.day6.4	H4	3	20_everyone	4	0.1x_R2A	yes	equal	equal	day6
20.everyone.noPsim.day6.1	20_everyone_noPsim.day6.1	A5	3	20_everyone_noPsim	1	0.1x_R2A	no	equal	equal	day6
20.everyone.noPsim.day6.2	20_everyone_noPsim.day6.2	B5	3	20_everyone_noPsim	2	0.1x_R2A	no	equal	equal	day6
20.everyone.noPsim.day6.3	20_everyone_noPsim.day6.3	C5	3	20_everyone_noPsim	3	0.1x_R2A	no	equal	equal	day6
20.everyone.noPsim.day6.4	20_everyone_noPsim.day6.4	D5	3	20_everyone_noPsim	4	0.1x_R2A	no	equal	equal	day6
200.everyone.day6.1	200_everyone.day6.1	E5	3	200_everyone	1	0.1x_R2A	yes	equal	equal	day6
200.everyone.day6.2	200_everyone.day6.2	F5	3	200_everyone	2	0.1x_R2A	yes	equal	equal	day6
200.everyone.day6.3	200_everyone.day6.3	G5	3	200_everyone	3	0.1x_R2A	yes	equal	equal	day6
200.everyone.day6.4	200_everyone.day6.4	H5	3	200_everyone	4	0.1x_R2A	yes	equal	equal	day6
200.everyone.noPsim.day6.1	200_everyone_noPsim.day6.1	A6	3	200_everyone_noPsim	1	0.1x_R2A	no	equal	equal	day6
200.everyone.noPsim.day6.2	200_everyone_noPsim.day6.2	B6	3	200_everyone_noPsim	2	0.1x_R2A	no	equal	equal	day6
200.everyone.noPsim.day6.3	200_everyone_noPsim.day6.3	C6	3	200_everyone_noPsim	3	0.1x_R2A	no	equal	equal	day6
200.everyone.noPsim.day6.4	200_everyone_noPsim.day6.4	D6	3	200_everyone_noPsim	4	0.1x_R2A	no	equal	equal	day6
2000.everyone.day6.1	2000_everyone.day6.1	E6	3	2000_everyone	1	0.1x_R2A	yes	equal	equal	day6
2000.everyone.day6.2	2000_everyone.day6.2	F6	3	2000_everyone	2	0.1x_R2A	yes	equal	equal	day6
2000.everyone.day6.3	2000_everyone.day6.3	G6	3	2000_everyone	3	0.1x_R2A	yes	equal	equal	day6
2000.everyone.day6.4	2000_everyone.day6.4	H6	3	2000_everyone	4	0.1x_R2A	yes	equal	equal	day6
2000.everyone.noPsim.day6.1	2000_everyone_noPsim.day6.1	A7	3	2000_everyone_noPsim	1	0.1x_R2A	no	equal	equal	day6
2000.everyone.noPsim.day6.2	2000_everyone_noPsim.day6.2	B7	3	2000_everyone_noPsim	2	0.1x_R2A	no	equal	equal	day6
2000.everyone.noPsim.day6.3	2000_everyone_noPsim.day6.3	C7	3	2000_everyone_noPsim	3	0.1x_R2A	no	equal	equal	day6
2000.everyone.noPsim.day6.4	2000_everyone_noPsim.day6.4	D7	3	2000_everyone_noPsim	4	0.1x_R2A	no	equal	equal	day6
log.correction.day6.1	log_correction.day6.1	E7	3	log_correction	1	0.1x_R2A	yes	adjutsed	log	day6
log.correction.day6.2	log_correction.day6.2	F7	3	log_correction	2	0.1x_R2A	yes	adjutsed	log	day6
log.correction.day6.3	log_correction.day6.3	G7	3	log_correction	3	0.1x_R2A	yes	adjutsed	log	day6
log.correction.day6.4	log_correction.day6.4	H7	3	log_correction	4	0.1x_R2A	yes	adjutsed	log	day6
log.correction.noPsim.day6.1	log_correction_noPsim.day6.1	A8	3	log_correction_noPsim	1	0.1x_R2A	no	adjutsed	log	day6
log.correction.noPsim.day6.2	log_correction_noPsim.day6.2	B8	3	log_correction_noPsim	2	0.1x_R2A	no	adjutsed	log	day6
log.correction.noPsim.day6.3	log_correction_noPsim.day6.3	C8	3	log_correction_noPsim	3	0.1x_R2A	no	adjutsed	log	day6
log.correction.noPsim.day6.4	log_correction_noPsim.day6.4	D8	3	log_correction_noPsim	4	0.1x_R2A	no	adjutsed	log	day6
linear.correction.day6.1	linear_correction.day6.1	E8	3	linear_correction	1	0.1x_R2A	yes	adjutsed	linear	day6
linear.correction.day6.2	linear_correction.day6.2	F8	3	linear_correction	2	0.1x_R2A	yes	adjutsed	linear	day6
linear.correction.day6.3	linear_correction.day6.3	G8	3	linear_correction	3	0.1x_R2A	yes	adjutsed	linear	day6
linear.correction.day6.4	linear_correction.day6.4	H8	3	linear_correction	4	0.1x_R2A	yes	adjutsed	linear	day6
linear.correction.noPsim.day6.1	linear_correction_noPsim.day6.1	A9	3	linear_correction_noPsim	1	0.1x_R2A	no	adjutsed	linear	day6
linear.correction.noPsim.day6.2	linear_correction_noPsim.day6.2	B9	3	linear_correction_noPsim	2	0.1x_R2A	no	adjutsed	linear	day6
linear.correction.noPsim.day6.3	linear_correction_noPsim.day6.3	C9	3	linear_correction_noPsim	3	0.1x_R2A	no	adjutsed	linear	day6
linear.correction.noPsim.day6.4	linear_correction_noPsim.day6.4	D9	3	linear_correction_noPsim	4	0.1x_R2A	no	adjutsed	linear	day6
rel.abu.linear.day6.1	rel_abu_linear.day6.1	E9	3	rel_abu_linear	1	0.1x_R2A	yes	adjutsed	linear	day6
rel.abu.linear.day6.2	rel_abu_linear.day6.2	F9	3	rel_abu_linear	2	0.1x_R2A	yes	adjutsed	linear	day6
rel.abu.linear.day6.3	rel_abu_linear.day6.3	G9	3	rel_abu_linear	3	0.1x_R2A	yes	adjutsed	linear	day6
rel.abu.linear.day6.4	rel_abu_linear.day6.4	H9	3	rel_abu_linear	4	0.1x_R2A	yes	adjutsed	linear	day6
rel.abu.noPsim.linear.day6.1	rel_abu_noPsim_linear.day6.1	A10	3	rel_abu_noPsim_linear	1	0.1x_R2A	no	adjutsed	linear	day6
rel.abu.noPsim.linear.day6.2	rel_abu_noPsim_linear.day6.2	B10	3	rel_abu_noPsim_linear	2	0.1x_R2A	no	adjutsed	linear	day6
rel.abu.noPsim.linear.day6.3	rel_abu_noPsim_linear.day6.3	C10	3	rel_abu_noPsim_linear	3	0.1x_R2A	no	adjutsed	linear	day6
rel.abu.noPsim.linear.day6.4	rel_abu_noPsim_linear.day6.4	D10	3	rel_abu_noPsim_linear	4	0.1x_R2A	no	adjutsed	linear	day6
rel.abu.exp.day6.1	rel_abu_exp.day6.1	E10	3	rel_abu_exp	1	0.1x_R2A	yes	adjutsed	log	day6
rel.abu.exp.day6.2	rel_abu_exp.day6.2	F10	3	rel_abu_exp	2	0.1x_R2A	yes	adjutsed	log	day6
rel.abu.exp.day6.3	rel_abu_exp.day6.3	G10	3	rel_abu_exp	3	0.1x_R2A	yes	adjutsed	log	day6
rel.abu.exp.day6.4	rel_abu_exp.day6.4	H10	3	rel_abu_exp	4	0.1x_R2A	yes	adjutsed	log	day6
rel.abu.noPsim.exp.noPsim.day6.1	rel_abu_noPsim_exp_noPsim.day6.1	A11	3	rel_abu_noPsim_exp_noPsim	1	0.1x_R2A	no	adjutsed	log	day6
rel.abu.noPsim.exp.noPsim.day6.2	rel_abu_noPsim_exp_noPsim.day6.2	B11	3	rel_abu_noPsim_exp_noPsim	2	0.1x_R2A	no	adjutsed	log	day6
rel.abu.noPsim.exp.noPsim.day6.3	rel_abu_noPsim_exp_noPsim.day6.3	C11	3	rel_abu_noPsim_exp_noPsim	3	0.1x_R2A	no	adjutsed	log	day6
rel.abu.noPsim.exp.noPsim.day6.4	rel_abu_noPsim_exp_noPsim.day6.4	D11	3	rel_abu_noPsim_exp_noPsim	4	0.1x_R2A	no	adjutsed	log	day6
weighted.abu.day6.1	weighted_abu.day6.1	E11	3	weighted_abu	1	0.1x_R2A	yes	adjutsed	linear	day6
weighted.abu.day6.2	weighted_abu.day6.2	F11	3	weighted_abu	2	0.1x_R2A	yes	adjutsed	linear	day6
weighted.abu.day6.3	weighted_abu.day6.3	G11	3	weighted_abu	3	0.1x_R2A	yes	adjutsed	linear	day6
weighted.abu.day6.4	weighted_abu.day6.4	H11	3	weighted_abu	4	0.1x_R2A	yes	adjutsed	linear	day6
weighted.abu.noPsim.day6.1	weighted_abu_noPsim.day6.1	A12	3	weighted_abu_noPsim	1	0.1x_R2A	no	adjutsed	linear	day6
weighted.abu.noPsim.day6.2	weighted_abu_noPsim.day6.2	B12	3	weighted_abu_noPsim	2	0.1x_R2A	no	adjutsed	linear	day6
weighted.abu.noPsim.day6.3	weighted_abu_noPsim.day6.3	C12	3	weighted_abu_noPsim	3	0.1x_R2A	no	adjutsed	linear	day6
weighted.abu.noPsim.day6.4	weighted_abu_noPsim.day6.4	D12	3	weighted_abu_noPsim	4	0.1x_R2A	no	adjutsed	linear	day6
2x.cutoff.day11.1	2x_cutoff.day11.1	E1	4	2x_cutoff	1	0.1x_R2A	yes	adjutsed	cutoff	day11
2x.cutoff.day11.2	2x_cutoff.day11.2	F1	4	2x_cutoff	2	0.1x_R2A	yes	adjutsed	cutoff	day11
2x.cutoff.day11.3	2x_cutoff.day11.3	G1	4	2x_cutoff	3	0.1x_R2A	yes	adjutsed	cutoff	day11
2x.cutoff.day11.4	2x_cutoff.day11.4	H1	4	2x_cutoff	4	0.1x_R2A	yes	adjutsed	cutoff	day11
2x.cutoff.noPsim.day11.1	2x_cutoff_noPsim.day11.1	A2	4	2x_cutoff_noPsim	1	0.1x_R2A	no	adjutsed	cutoff	day11
2x.cutoff.noPsim.day11.2	2x_cutoff_noPsim.day11.2	B2	4	2x_cutoff_noPsim	2	0.1x_R2A	no	adjutsed	cutoff	day11
2x.cutoff.noPsim.day11.3	2x_cutoff_noPsim.day11.3	C2	4	2x_cutoff_noPsim	3	0.1x_R2A	no	adjutsed	cutoff	day11
2x.cutoff.noPsim.day11.4	2x_cutoff_noPsim.day11.4	D2	4	2x_cutoff_noPsim	4	0.1x_R2A	no	adjutsed	cutoff	day11
3x.cutoff.day11.1	3x_cutoff.day11.1	E2	4	3x_cutoff	1	0.1x_R2A	yes	adjutsed	cutoff	day11
3x.cutoff.day11.2	3x_cutoff.day11.2	F2	4	3x_cutoff	2	0.1x_R2A	yes	adjutsed	cutoff	day11
3x.cutoff.day11.3	3x_cutoff.day11.3	G2	4	3x_cutoff	3	0.1x_R2A	yes	adjutsed	cutoff	day11
3x.cutoff.day11.4	3x_cutoff.day11.4	H2	4	3x_cutoff	4	0.1x_R2A	yes	adjutsed	cutoff	day11
3x.cutoff.noPsim.day11.1	3x_cutoff_noPsim.day11.1	A3	4	3x_cutoff_noPsim	1	0.1x_R2A	no	adjutsed	cutoff	day11
3x.cutoff.noPsim.day11.2	3x_cutoff_noPsim.day11.2	B3	4	3x_cutoff_noPsim	2	0.1x_R2A	no	adjutsed	cutoff	day11
3x.cutoff.noPsim.day11.3	3x_cutoff_noPsim.day11.3	C3	4	3x_cutoff_noPsim	3	0.1x_R2A	no	adjutsed	cutoff	day11
3x.cutoff.noPsim.day11.4	3x_cutoff_noPsim.day11.4	D3	4	3x_cutoff_noPsim	4	0.1x_R2A	no	adjutsed	cutoff	day11
2.everyone.day11.1	2_everyone.day11.1	E3	4	2_everyone	1	0.1x_R2A	yes	equal	equal	day11
2.everyone.day11.2	2_everyone.day11.2	F3	4	2_everyone	2	0.1x_R2A	yes	equal	equal	day11
2.everyone.day11.3	2_everyone.day11.3	G3	4	2_everyone	3	0.1x_R2A	yes	equal	equal	day11
2.everyone.day11.4	2_everyone.day11.4	H3	4	2_everyone	4	0.1x_R2A	yes	equal	equal	day11
2.everyone.noPsim.day11.1	2_everyone_noPsim.day11.1	A4	4	2_everyone_noPsim	1	0.1x_R2A	no	equal	equal	day11
2.everyone.noPsim.day11.2	2_everyone_noPsim.day11.2	B4	4	2_everyone_noPsim	2	0.1x_R2A	no	equal	equal	day11
2.everyone.noPsim.day11.3	2_everyone_noPsim.day11.3	C4	4	2_everyone_noPsim	3	0.1x_R2A	no	equal	equal	day11
2.everyone.noPsim.day11.4	2_everyone_noPsim.day11.4	D4	4	2_everyone_noPsim	4	0.1x_R2A	no	equal	equal	day11
20.everyone.day11.1	20_everyone.day11.1	E4	4	20_everyone	1	0.1x_R2A	yes	equal	equal	day11
20.everyone.day11.2	20_everyone.day11.2	F4	4	20_everyone	2	0.1x_R2A	yes	equal	equal	day11
20.everyone.day11.3	20_everyone.day11.3	G4	4	20_everyone	3	0.1x_R2A	yes	equal	equal	day11
20.everyone.day11.4	20_everyone.day11.4	H4	4	20_everyone	4	0.1x_R2A	yes	equal	equal	day11
20.everyone.noPsim.day11.1	20_everyone_noPsim.day11.1	A5	4	20_everyone_noPsim	1	0.1x_R2A	no	equal	equal	day11
20.everyone.noPsim.day11.2	20_everyone_noPsim.day11.2	B5	4	20_everyone_noPsim	2	0.1x_R2A	no	equal	equal	day11
20.everyone.noPsim.day11.3	20_everyone_noPsim.day11.3	C5	4	20_everyone_noPsim	3	0.1x_R2A	no	equal	equal	day11
20.everyone.noPsim.day11.4	20_everyone_noPsim.day11.4	D5	4	20_everyone_noPsim	4	0.1x_R2A	no	equal	equal	day11
200.everyone.day11.1	200_everyone.day11.1	E5	4	200_everyone	1	0.1x_R2A	yes	equal	equal	day11
200.everyone.day11.2	200_everyone.day11.2	F5	4	200_everyone	2	0.1x_R2A	yes	equal	equal	day11
200.everyone.day11.3	200_everyone.day11.3	G5	4	200_everyone	3	0.1x_R2A	yes	equal	equal	day11
200.everyone.day11.4	200_everyone.day11.4	H5	4	200_everyone	4	0.1x_R2A	yes	equal	equal	day11
200.everyone.noPsim.day11.1	200_everyone_noPsim.day11.1	A6	4	200_everyone_noPsim	1	0.1x_R2A	no	equal	equal	day11
200.everyone.noPsim.day11.2	200_everyone_noPsim.day11.2	B6	4	200_everyone_noPsim	2	0.1x_R2A	no	equal	equal	day11
200.everyone.noPsim.day11.3	200_everyone_noPsim.day11.3	C6	4	200_everyone_noPsim	3	0.1x_R2A	no	equal	equal	day11
200.everyone.noPsim.day11.4	200_everyone_noPsim.day11.4	D6	4	200_everyone_noPsim	4	0.1x_R2A	no	equal	equal	day11
2000.everyone.day11.1	2000_everyone.day11.1	E6	4	2000_everyone	1	0.1x_R2A	yes	equal	equal	day11
2000.everyone.day11.2	2000_everyone.day11.2	F6	4	2000_everyone	2	0.1x_R2A	yes	equal	equal	day11
2000.everyone.day11.3	2000_everyone.day11.3	G6	4	2000_everyone	3	0.1x_R2A	yes	equal	equal	day11
2000.everyone.day11.4	2000_everyone.day11.4	H6	4	2000_everyone	4	0.1x_R2A	yes	equal	equal	day11
2000.everyone.noPsim.day11.1	2000_everyone_noPsim.day11.1	A7	4	2000_everyone_noPsim	1	0.1x_R2A	no	equal	equal	day11
2000.everyone.noPsim.day11.2	2000_everyone_noPsim.day11.2	B7	4	2000_everyone_noPsim	2	0.1x_R2A	no	equal	equal	day11
2000.everyone.noPsim.day11.3	2000_everyone_noPsim.day11.3	C7	4	2000_everyone_noPsim	3	0.1x_R2A	no	equal	equal	day11
2000.everyone.noPsim.day11.4	2000_everyone_noPsim.day11.4	D7	4	2000_everyone_noPsim	4	0.1x_R2A	no	equal	equal	day11
log.correction.day11.1	log_correction.day11.1	E7	4	log_correction	1	0.1x_R2A	yes	adjutsed	log	day11
log.correction.day11.2	log_correction.day11.2	F7	4	log_correction	2	0.1x_R2A	yes	adjutsed	log	day11
log.correction.day11.3	log_correction.day11.3	G7	4	log_correction	3	0.1x_R2A	yes	adjutsed	log	day11
log.correction.day11.4	log_correction.day11.4	H7	4	log_correction	4	0.1x_R2A	yes	adjutsed	log	day11
log.correction.noPsim.day11.1	log_correction_noPsim.day11.1	A8	4	log_correction_noPsim	1	0.1x_R2A	no	adjutsed	log	day11
log.correction.noPsim.day11.2	log_correction_noPsim.day11.2	B8	4	log_correction_noPsim	2	0.1x_R2A	no	adjutsed	log	day11
log.correction.noPsim.day11.3	log_correction_noPsim.day11.3	C8	4	log_correction_noPsim	3	0.1x_R2A	no	adjutsed	log	day11
log.correction.noPsim.day11.4	log_correction_noPsim.day11.4	D8	4	log_correction_noPsim	4	0.1x_R2A	no	adjutsed	log	day11
linear.correction.day11.1	linear_correction.day11.1	E8	4	linear_correction	1	0.1x_R2A	yes	adjutsed	linear	day11
linear.correction.day11.2	linear_correction.day11.2	F8	4	linear_correction	2	0.1x_R2A	yes	adjutsed	linear	day11
linear.correction.day11.3	linear_correction.day11.3	G8	4	linear_correction	3	0.1x_R2A	yes	adjutsed	linear	day11
linear.correction.day11.4	linear_correction.day11.4	H8	4	linear_correction	4	0.1x_R2A	yes	adjutsed	linear	day11
linear.correction.noPsim.day11.1	linear_correction_noPsim.day11.1	A9	4	linear_correction_noPsim	1	0.1x_R2A	no	adjutsed	linear	day11
linear.correction.noPsim.day11.2	linear_correction_noPsim.day11.2	B9	4	linear_correction_noPsim	2	0.1x_R2A	no	adjutsed	linear	day11
linear.correction.noPsim.day11.3	linear_correction_noPsim.day11.3	C9	4	linear_correction_noPsim	3	0.1x_R2A	no	adjutsed	linear	day11
linear.correction.noPsim.day11.4	linear_correction_noPsim.day11.4	D9	4	linear_correction_noPsim	4	0.1x_R2A	no	adjutsed	linear	day11
rel.abu.linear.day11.1	rel_abu_linear.day11.1	E9	4	rel_abu_linear	1	0.1x_R2A	yes	adjutsed	linear	day11
rel.abu.linear.day11.2	rel_abu_linear.day11.2	F9	4	rel_abu_linear	2	0.1x_R2A	yes	adjutsed	linear	day11
rel.abu.linear.day11.3	rel_abu_linear.day11.3	G9	4	rel_abu_linear	3	0.1x_R2A	yes	adjutsed	linear	day11
rel.abu.linear.day11.4	rel_abu_linear.day11.4	H9	4	rel_abu_linear	4	0.1x_R2A	yes	adjutsed	linear	day11
rel.abu.noPsim.linear.day11.1	rel_abu_noPsim_linear.day11.1	A10	4	rel_abu_noPsim_linear	1	0.1x_R2A	no	adjutsed	linear	day11
rel.abu.noPsim.linear.day11.2	rel_abu_noPsim_linear.day11.2	B10	4	rel_abu_noPsim_linear	2	0.1x_R2A	no	adjutsed	linear	day11
rel.abu.noPsim.linear.day11.3	rel_abu_noPsim_linear.day11.3	C10	4	rel_abu_noPsim_linear	3	0.1x_R2A	no	adjutsed	linear	day11
rel.abu.noPsim.linear.day11.4	rel_abu_noPsim_linear.day11.4	D10	4	rel_abu_noPsim_linear	4	0.1x_R2A	no	adjutsed	linear	day11
rel.abu.exp.day11.1	rel_abu_exp.day11.1	E10	4	rel_abu_exp	1	0.1x_R2A	yes	adjutsed	log	day11
rel.abu.exp.day11.2	rel_abu_exp.day11.2	F10	4	rel_abu_exp	2	0.1x_R2A	yes	adjutsed	log	day11
rel.abu.exp.day11.3	rel_abu_exp.day11.3	G10	4	rel_abu_exp	3	0.1x_R2A	yes	adjutsed	log	day11
rel.abu.exp.day11.4	rel_abu_exp.day11.4	H10	4	rel_abu_exp	4	0.1x_R2A	yes	adjutsed	log	day11
rel.abu.noPsim.exp.noPsim.day11.1	rel_abu_noPsim_exp_noPsim.day11.1	A11	4	rel_abu_noPsim_exp_noPsim	1	0.1x_R2A	no	adjutsed	log	day11
rel.abu.noPsim.exp.noPsim.day11.2	rel_abu_noPsim_exp_noPsim.day11.2	B11	4	rel_abu_noPsim_exp_noPsim	2	0.1x_R2A	no	adjutsed	log	day11
rel.abu.noPsim.exp.noPsim.day11.3	rel_abu_noPsim_exp_noPsim.day11.3	C11	4	rel_abu_noPsim_exp_noPsim	3	0.1x_R2A	no	adjutsed	log	day11
rel.abu.noPsim.exp.noPsim.day11.4	rel_abu_noPsim_exp_noPsim.day11.4	D11	4	rel_abu_noPsim_exp_noPsim	4	0.1x_R2A	no	adjutsed	log	day11
weighted.abu.day11.1	weighted_abu.day11.1	E11	4	weighted_abu	1	0.1x_R2A	yes	adjutsed	linear	day11
weighted.abu.day11.2	weighted_abu.day11.2	F11	4	weighted_abu	2	0.1x_R2A	yes	adjutsed	linear	day11
weighted.abu.day11.3	weighted_abu.day11.3	G11	4	weighted_abu	3	0.1x_R2A	yes	adjutsed	linear	day11
weighted.abu.day11.4	weighted_abu.day11.4	H11	4	weighted_abu	4	0.1x_R2A	yes	adjutsed	linear	day11
weighted.abu.noPsim.day11.1	weighted_abu_noPsim.day11.1	A12	4	weighted_abu_noPsim	1	0.1x_R2A	no	adjutsed	linear	day11
weighted.abu.noPsim.day11.2	weighted_abu_noPsim.day11.2	B12	4	weighted_abu_noPsim	2	0.1x_R2A	no	adjutsed	linear	day11
weighted.abu.noPsim.day11.3	weighted_abu_noPsim.day11.3	C12	4	weighted_abu_noPsim	3	0.1x_R2A	no	adjutsed	linear	day11
weighted.abu.noPsim.day11.4	weighted_abu_noPsim.day11.4	D12	4	weighted_abu_noPsim	4	0.1x_R2A	no	adjutsed	linear	day11
